,model,p,algo,time,epc
88,ER,0.5,Greedy,0.4710139930029982,887.0157
89,ER,0.5,Greedy + Local Search,2.075483778004127,792.90225
90,ER,0.5,Greedy with MIS,0.7943800259963609,982.54305
91,ER,0.5,Greedy with MIS + Local Search,6.5938588850040105,795.0123
92,ER,0.5,REGA,0.5474030780023895,1168.56315
93,ER,0.5,REGA + Local Search,12.25774208200164,788.56065
94,ER,0.5,GRASP,18.22687336799572,796.91535
95,ER,0.5,GRASP + Local Search,26.29718000000139,793.11645
96,ER,0.5,GRASP + Path Relinking,18.41115418499976,792.0036
97,ER,0.5,GRASP + Path Relinking + Local Search,22.638283036001667,793.55835
98,ER,0.5,GNN (1 shot),0.0398955850032507,1024.89975
99,ER,0.5,GNN (1 shot) + Local Search,13.449474392000411,789.75405
100,ER,0.5,Greedy GNN,0.149157419000403,929.84805
101,ER,0.5,Greedy GNN + Local Search,5.504318428000261,791.5806
102,ER,0.6,Degree-based,0.0209166179993189,1748.5704
103,ER,0.6,Betweenness,0.0294834859960246,1677.9537
104,ER,0.6,PageRank,0.019929862995923,1770.8265
105,ER,0.6,Greedy,0.7956032539950684,1862.3817
106,ER,0.6,Greedy + Local Search,21.317698521997954,1633.52835
107,ER,0.6,Greedy with MIS,2.869157118999283,1931.70825
108,ER,0.6,Greedy with MIS + Local Search,24.088769088994013,1646.1981
109,ER,0.6,REGA,0.6061651089985389,1789.92675
110,ER,0.6,REGA + Local Search,22.57996040899889,1649.5713
111,ER,0.6,GRASP,18.37100223800371,1714.0626
112,ER,0.6,GRASP + Local Search,21.014117580001766,1623.80295
113,ER,0.6,GRASP + Path Relinking,20.053373948001536,1910.5452
114,ER,0.6,GRASP + Path Relinking + Local Search,36.00675854900328,1621.28925
115,ER,0.6,GNN (1 shot),0.0558900620017084,1901.55465
116,ER,0.6,GNN (1 shot) + Local Search,21.93606702100078,1615.92075
117,ER,0.6,Greedy GNN,0.1588744170003337,1876.76235
118,ER,0.6,Greedy GNN + Local Search,5.730591639003251,1621.82925
119,ER,0.7,Degree-based,0.0247153410018654,2503.476
120,ER,0.7,Betweenness,0.0348187519994098,2437.76475
121,ER,0.7,PageRank,0.0327889600011985,2474.72145
122,ER,0.7,Greedy,1.4458434370026223,2476.45935
123,ER,0.7,Greedy + Local Search,28.76857636799832,2222.9712
124,ER,0.7,Greedy with MIS,1.5171382620028453,2304.3978
125,ER,0.7,Greedy with MIS + Local Search,25.04364603399881,2227.2147
126,ER,0.7,REGA,0.7167907600014587,2462.4189
127,ER,0.7,REGA + Local Search,28.717678086999516,2231.0316
128,ER,0.7,GRASP,20.528276156001084,2377.04985
129,ER,0.7,GRASP + Local Search,32.84646103400155,2250.89865
130,ER,0.7,GRASP + Path Relinking,24.459541635995265,2411.68725
131,ER,0.7,GRASP + Path Relinking + Local Search,56.376145973998064,2250.45675
132,ER,0.7,GNN (1 shot),0.053433421999216,2590.85925
133,ER,0.7,GNN (1 shot) + Local Search,46.84697245500138,2222.3394
134,ER,0.7,Greedy GNN,0.1584141350031132,2542.99665
135,ER,0.7,Greedy GNN + Local Search,26.107265908001864,2245.31955
136,ER,0.8,Degree-based,0.0270892729968181,3019.95045
137,ER,0.8,Betweenness,0.0557183000055374,2988.7866
138,ER,0.8,PageRank,0.03909813700011,2923.74495
139,ER,0.8,Greedy,0.6109764240027289,2929.5972
140,ER,0.8,Greedy + Local Search,49.1380645370009,2643.8733
141,ER,0.8,Greedy with MIS,2.3998859190032817,2903.39415
142,ER,0.8,Greedy with MIS + Local Search,19.43838391100144,2920.0347
143,ER,0.8,REGA,1.0047633280046284,3034.28835
144,ER,0.8,REGA + Local Search,41.68141368799843,2644.9398
145,ER,0.8,GRASP,22.1448644819975,2765.00115
146,ER,0.8,GRASP + Local Search,48.29034372800379,2640.32955
147,ER,0.8,GRASP + Path Relinking,18.495487940999737,2858.3811
148,ER,0.8,GRASP + Path Relinking + Local Search,33.25685284900101,2664.33345
149,ER,0.8,GNN (1 shot),0.0550415769976098,3023.79075
150,ER,0.8,GNN (1 shot) + Local Search,26.765912099006528,2643.73065
151,ER,0.8,Greedy GNN,0.1811531580024166,2961.50625
152,ER,0.8,Greedy GNN + Local Search,30.12153808199946,2649.5379
153,ER,0.9,Degree-based,0.0283307599966065,3345.8274
154,ER,0.9,Betweenness,0.0396986159976222,3341.90115
155,ER,0.9,PageRank,0.0334988239992526,3219.51555
156,ER,0.9,Greedy,1.798308312005247,3118.5117
157,ER,0.9,Greedy + Local Search,8.780071048997343,3057.22395
158,ER,0.9,Greedy with MIS,1.3576316539983964,3276.4527
159,ER,0.9,Greedy with MIS + Local Search,20.724168175998784,2794.9842
160,ER,0.9,REGA,1.5777757469986682,3518.73135
161,ER,0.9,REGA + Local Search,35.05982929500169,2911.75335
162,ER,0.9,GRASP,20.76505484399968,3042.1701
163,ER,0.9,GRASP + Local Search,20.675030389000312,3065.2434
164,ER,0.9,GRASP + Path Relinking,17.187343468001927,3060.13275
165,ER,0.9,GRASP + Path Relinking + Local Search,58.759127275996434,2781.9441
166,ER,0.9,GNN (1 shot),0.0530012239978532,3290.3541
167,ER,0.9,GNN (1 shot) + Local Search,32.33866686900001,2790.56835
168,ER,0.9,Greedy GNN,0.159953360001964,3220.9836
169,ER,0.9,Greedy GNN + Local Search,35.597209498002485,2782.7199
170,ER,1.0,Degree-based,0.0211442439976963,3568.46175
171,ER,1.0,Betweenness,0.0496436419998644,3573.05265
172,ER,1.0,PageRank,0.0341662450009607,3398.8239
173,ER,1.0,Greedy,1.5686715379997622,3151.18755
174,ER,1.0,Greedy + Local Search,45.73471314299968,3006.3348
175,ER,1.0,Greedy with MIS,1.3929192290015635,3484.88595
